udprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,departmentname,subbuildingname,buildingname,buildingnumber,dependentthoroughfare,thoroughfare,doubledependentlocality,dependentlocality,posttown,postcode,postcodetype,deliverypointsuffix,welshdependentthoroughfare,welshthoroughfare,welshdoubledependentlocality,welshdependentlocality,welshposttown,poboxnumber,updatedate,entrydate,easting,northing,latitude,longitude,positionalaccuracy,geometryallocationmethod,unmatchedreason,unmatchedreasondate,uprn,matchedaddressfeaturetype,matchtype,matchdate,matchmethod,matchingorganisation
3160024,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,17,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1L,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142978.70,525314.33,54.5575895,-5.9767649,Central Internal Position,Matched UPRN,NULL,NULL,185085396,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160026,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,19,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1P,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142972.89,525316.83,54.5576090,-5.9768567,Central Internal Position,Matched UPRN,NULL,NULL,185085398,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160028,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,20,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1R,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142952.16,525297.52,54.5574254,-5.9771595,Central Internal Position,Matched UPRN,NULL,NULL,185085400,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160029,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,21,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1S,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142963.18,525320.67,54.5576385,-5.9770098,Central Internal Position,Matched UPRN,NULL,NULL,185085401,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160030,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,22,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1T,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142946.35,525300.03,54.5574449,-5.9772513,Central Internal Position,Matched UPRN,NULL,NULL,185085402,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160033,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,25,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1X,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142951.73,525327.68,54.5576955,-5.9771925,Central Internal Position,Matched UPRN,NULL,NULL,185085405,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160035,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,27,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1Z,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142946.01,525331.18,54.5577240,-5.9772839,Central Internal Position,Matched UPRN,NULL,NULL,185085407,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160036,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,28,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142928.27,525311.61,54.5575396,-5.9775404,Central Internal Position,Matched UPRN,NULL,NULL,185085408,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160037,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,29,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142939.54,525337.75,54.5577797,-5.9773893,Central Internal Position,Matched UPRN,NULL,NULL,185878196,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160038,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,3,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2D,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,143018.17,525282.84,54.5573273,-5.9761286,Central Internal Position,Matched UPRN,NULL,NULL,185085410,Built Address,Direct,2016-03-16,Automated,GeoPlace
