uprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,poboxnumber,subname,name,number,streetname,locality,townname,islandname,postcode,fulladdress,country,alternatelanguagesubname,alternatelanguagename,alternatelanguagenumber,alternatelanguagestreetname,alternatelanguagelocality,alternatelanguagetownname,alternatelanguageislandname,alternatelanguage,alternatelanguagefulladdress,floorlevel,lowestfloorlevel,highestfloorlevel,classificationcode,classificationdescription,primaryclassificationdescription,secondaryclassificationdescription,tertiaryclassificationdescription,quaternaryclassificationdescription,buildstatus,buildstatusdate,addressstatus,postcodesource,parentuprn,rootuprn,hierarchylevel,usrn,usrnmatchindicator,localcustodiancode,localcustodiandescription,lowertierlocalauthoritygsscode,easting,northing,latitude,longitude,positionalaccuracy,effectivestartdate,effectiveenddate
100040036235,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,11,SHUTE MEADOW,NULL,PENRYN,NULL,TR10 8PE,"11, SHUTE MEADOW, PENRYN, TR10 8PE",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2018-09-26,Approved,A record which is linked to a Royal Mail address,NULL,100040036235,1,6101626,Manually Matched,840,CORNWALL,E06000052,178030.00,34412.00,50.1680710,-5.1096631,General Internal Position,2001-04-04,NULL
100060873952,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,123,ST ALBANS ROAD,NULL,DARTFORD,NULL,DA1 1TZ,"123, ST ALBANS ROAD, DARTFORD, DA1 1TZ",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060873952,1,10500640,Manually Matched,2215,DARTFORD,E07000107,554942.00,174268.00,51.4462097,0.2282575,Central Internal Position,2001-09-13,NULL
100060864533,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,1,HOWARD ROAD,NULL,DARTFORD,NULL,DA1 1XS,"1, HOWARD ROAD, DARTFORD, DA1 1XS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060864533,1,10500332,Manually Matched,2215,DARTFORD,E07000107,555309.25,174148.05,51.4450313,0.2334855,Central Internal Position,2001-09-13,NULL
200000530454,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,59,PRIORY ROAD,NULL,DARTFORD,NULL,DA1 2BS,"59, PRIORY ROAD, DARTFORD, DA1 2BS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,200000530454,1,10500558,Manually Matched,2215,DARTFORD,E07000107,553821.64,174854.99,51.4517895,0.2124029,General Internal Position,2001-09-13,NULL
100040036545,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,8,TRURO HILL,NULL,PENRYN,NULL,TR10 8DB,"8, TRURO HILL, PENRYN, TR10 8DB",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2025-05-20,Approved,A record which is linked to a Royal Mail address,NULL,100040036545,1,6100916,Manually Matched,840,CORNWALL,E06000052,178363.00,34764.00,50.1713568,-5.1052123,Central Internal Position,2001-04-04,NULL
100060873953,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,124,ST ALBANS ROAD,NULL,DARTFORD,NULL,DA1 1TZ,"124, ST ALBANS ROAD, DARTFORD, DA1 1TZ",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060873953,1,10500640,Manually Matched,2215,DARTFORD,E07000107,554913.00,174250.00,51.4460559,0.2278327,General Internal Position,2001-09-13,NULL
200000530505,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,112,PRIORY ROAD,NULL,DARTFORD,NULL,DA1 2BN,"112, PRIORY ROAD, DARTFORD, DA1 2BN",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,200000530505,1,10500558,Manually Matched,2215,DARTFORD,E07000107,553893.00,174714.00,51.4505033,0.2133678,Central Internal Position,2001-09-13,NULL
200000530493,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,100,PRIORY ROAD,NULL,DARTFORD,NULL,DA1 2BN,"100, PRIORY ROAD, DARTFORD, DA1 2BN",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,200000530493,1,10500558,Manually Matched,2215,DARTFORD,E07000107,553872.00,174785.00,51.4511470,0.2130967,General Internal Position,2001-09-13,NULL
100040036788,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,46,WESTERN PLACE,NULL,PENRYN,NULL,TR10 8HQ,"46, WESTERN PLACE, PENRYN, TR10 8HQ",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2018-10-04,Approved,A record which is linked to a Royal Mail address,NULL,100040036788,1,6100468,Manually Matched,840,CORNWALL,E06000052,177858.00,34871.00,50.1721286,-5.1123359,General Internal Position,2001-04-04,NULL
100060873954,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,125,ST ALBANS ROAD,NULL,DARTFORD,NULL,DA1 1TZ,"125, ST ALBANS ROAD, DARTFORD, DA1 1TZ",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060873954,1,10500640,Manually Matched,2215,DARTFORD,E07000107,554942.00,174272.00,51.4462457,0.2282593,General Internal Position,2001-09-13,NULL
